GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100287102,8.293382396,-0.018993759,0.230139029,-0.082531673,0.934223933,0.967433283
653635,1275.703127,0.206589157,0.147903201,1.396786253,0.162477857,0.351318476
102466751,54.43084825,0.407929706,0.180279194,2.262766416,0.023650092,0.097053539
107985730,4.263141675,0.425140643,0.230878598,1.841403432,0.06556246,0.195031319
100302278,1.150121615,-0.232092464,0.439482318,-0.528104214,0.597427006,0.766311764
645520,2.368428732,-0.564397958,0.37844936,-1.491343408,0.135871358,0.313487382
79501,0.047513601,-0.175136189,3.225584499,-0.054295954,0.956699373,NA
100996442,154.2890223,0.231873449,0.122078651,1.899377543,0.057514854,0.178374127
729737,466.9395069,0.544529352,0.182618386,2.981788222,0.002865702,0.021414529
102725121,8.108675011,0.043506136,0.342213398,0.127131597,0.898836243,0.949030143
102723897,1558.713447,0.140133863,0.162794838,0.860800412,0.389347978,0.602128225
102465909,31.11338318,0.187132149,0.164836439,1.135259594,0.256266567,0.467343098
107985721,15.3316458,0.231039357,0.168244941,1.373232122,0.169680197,0.361210895
112268260,95.35979529,0.133858891,0.135061163,0.991098314,0.321637576,0.536015583
729759,0.914561732,1.21241275,0.564146681,2.14910907,0.031625755,0.118645046
100132287,516.761286,0.709294687,0.163756832,4.331389894,1.48E-05,0.000442858
105378947,8.86435288,0.347470941,0.26349635,1.318693564,0.187271579,0.385280789
101928626,0.288184895,0.249486031,0.99555886,0.250598977,0.802124173,NA
113219467,11495.09154,0.83519328,0.257009604,3.249657864,0.001155439,0.011145037
81399,8.740727315,-0.102729596,0.18448033,-0.556859347,0.577623532,0.752436715
100133331,422.4469045,0.7810969,0.167047346,4.675901285,2.93E-06,0.000124022
107984841,38.37436735,0.743474175,0.257501345,2.887263272,0.003886089,0.026762224
107984847,61.00261981,1.213114961,0.292869936,4.142162817,3.44E-05,0.000826363
107984849,14.72177225,0.775144173,0.290528566,2.668048047,0.007629335,0.043093585
100288069,84.87880454,0.226795558,0.12043321,1.883164605,0.059678064,0.182843431
105378580,86.13313594,-0.321282262,0.108248492,-2.968006823,0.002997377,0.022174896
400728,9.880012231,0.118830013,0.248999011,0.477230862,0.633197737,0.791601384
79854,56.95945051,-0.323823335,0.160013905,-2.023719973,0.042998972,0.147076562
643837,1292.969798,0.219521736,0.115493809,1.900722975,0.057338308,0.178090401
107984850,32.51772824,-0.375698281,0.225530801,-1.665840229,0.095745241,0.249196797
284593,8.932645592,-0.353800035,0.221086834,-1.600276367,0.109537287,0.27269902
284600,11.99413526,0.105639999,0.236229322,0.447192575,0.654736022,0.806351558
100130417,31.9554902,-0.456318426,0.258213619,-1.767212849,0.077192589,0.216967587
107985728,15.77764621,-0.43105932,0.367922625,-1.171603185,0.241356409,0.450729755
148398,396.4059908,-0.450602749,0.15443376,-2.917773608,0.003525402,0.024875944
26155,2138.279781,0.160511434,0.079202572,2.026593697,0.042703982,0.146387959
339451,454.6918979,-0.265608451,0.136132452,-1.95110311,0.051044781,0.164731241
84069,6.194147254,-0.026399283,0.309608128,-0.085266764,0.932049314,0.966611475
84808,7.799282615,-0.258000211,0.282434875,-0.913485673,0.360987165,0.574734544
57801,402.7396247,0.640167478,0.166196525,3.851870413,0.000117219,0.002049745
9636,422.2666758,-0.114267742,0.187455073,-0.609574022,0.542144025,0.726367476
375790,4105.465507,0.527753841,0.129316802,4.081092578,4.48E-05,0.001005127
100288175,94.92322935,0.17313862,0.153749838,1.126106036,0.26012064,0.471738421
112267874,27.81993486,0.114834952,0.171021726,0.671464116,0.501924912,0.694782985
105378948,102.2784785,0.063218827,0.153305901,0.412370473,0.680067902,0.822127068
401934,0.555944529,0.491598796,0.761775881,0.645332582,0.518711683,0.708466051
54991,629.7393867,0.35227411,0.116143286,3.033099212,0.00242056,0.018948301
254099,0.052528934,-0.175136189,3.225584499,-0.054295954,0.956699373,NA
406984,0,NA,NA,NA,NA,NA
406983,0.083609524,-0.821443369,3.225362573,-0.254682489,0.798968342,NA
554210,0.050221506,0.231167484,3.225584499,0.071666851,0.942867037,NA
100506376,0.537775704,0.831294267,0.887097734,0.937094342,0.348710031,0.562549086
254173,1.69960754,1.823020683,0.548036411,3.326459055,0.000879569,0.009161754
