"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.00163132137030995,0.0031164298180005,-0.401837641021073,-1.66367193871966,0,200,"4958, 1580, 9936, 33, 3459, 483, 19, 128338, 1031, 10124, 3417, 2040, 10140, 1666, 56729, 847, 84919, 604, 3977, 58472, 6239, 64859, 10010, 1147, 284, 51635, 34, 8802, 5495, 4023, 1306, 8322, 27250, 26275, 80760, 5468, 26353, 8436, 134147, 901, 84522, 123, 56246, 3033, 3910, 2878, 54996, 217, 5236, 2167, 6510, 10580, 51727, 64225, 6342, 10449, 65124, 8082, 718, 83549, 8491, 10935, 1282, 57678, 130814, 1629, 7316, 4199, 8404, 369, 56922, 6453, 8780, 6776, 539"
"HALLMARK_ALLOGRAFT_REJECTION",0.00163132137030995,0.0031164298180005,-0.633854015395436,-2.62425674204787,0,200,"4318, 3606, 2213, 3561, 5552, 7097, 2268, 3459, 8807, 1520, 8767, 4690, 4065, 5788, 6189, 1956, 8444, 2533, 942, 3109, 717, 3394, 4689, 920, 916, 3117, 6170, 3122, 3578, 3717, 10261, 8915, 5196, 567, 10333, 2589, 7096, 6885, 7076, 3559, 3600, 9466, 729230, 3932, 6351, 10225, 355, 3059, 3133, 10563, 7042, 3592, 8477, 6133, 1615, 9450, 3569, 7040, 3976, 2149, 4528, 6352, 10006, 3689, 3108, 1230, 914, 2113, 958, 3937, 926, 8560, 9607, 2634, 6123, 896, 972, 3665, 3383, 7098, 1234, 3460, 3625, 4067, 3566, 56253, 3091, 3586, 50852, 2000, 940, 3111, 3603, 3551, 3662, 8664, 356, 4869, 602, 7903, 23166, 6347, 3824, 8669, 3683, 1435, 924, 822, 3458, 3455, 5777"
"HALLMARK_ANDROGEN_RESPONSE",0.00169204737732657,0.0031164298180005,-0.534805115950005,-2.02109093975744,0,101,"54407, 4094, 10627, 3880, 1836, 2683, 25816, 2289, 3248, 79689, 10257, 8611, 2773, 6303, 10461, 10788, 8821, 3856, 51465, 3998, 65986, 567, 3977, 1622, 5867, 3685, 563, 3005, 10611, 2005, 11099, 6446, 8848, 8554, 658, 896, 595, 2982, 6414, 4117, 9510, 7329, 6675, 56937, 55768, 5036, 7520, 84159"
"HALLMARK_APOPTOSIS",0.00167785234899329,0.0031164298180005,-0.5396591939326,-2.17546869860682,0,161,"1634, 3606, 7049, 837, 3459, 330, 7078, 834, 7465, 1017, 840, 4616, 51176, 3875, 3659, 6093, 6303, 841, 839, 3489, 8915, 3315, 10018, 5970, 4170, 4739, 969, 7076, 5159, 2876, 3005, 3082, 857, 355, 7832, 2012, 7042, 5611, 3569, 2149, 90427, 27250, 1191, 929, 51330, 10017, 914, 1806, 5366, 1027, 7153, 10628, 598, 2878, 4060, 8870, 3148, 3301, 637, 595, 301, 3958, 638, 10410, 1026, 2643, 10950, 4092, 1649, 1540, 706, 4313, 5538, 356, 3482, 3725"
"HALLMARK_COAGULATION",0.00166944908180301,0.0031164298180005,-0.511186097442233,-2.02304497958324,0,137,"4318, 3075, 2159, 1513, 23764, 824, 5627, 4048, 7078, 629, 717, 4317, 11098, 10404, 5175, 710, 716, 1675, 55970, 3426, 8309, 5196, 283, 6678, 5341, 7076, 7980, 462, 2534, 712, 715, 4323, 1191, 5265, 7056, 301, 7044, 718, 1512, 8754, 7450, 378, 4313, 3818, 7057, 9948, 3690, 164656, 2335, 344, 11202, 4224, 23479, 1465, 5054, 5877, 5328, 2934"
"HALLMARK_COMPLEMENT",0.00163132137030995,0.0031164298180005,-0.554111919539806,-2.29411174400189,0,200,"3075, 2159, 6283, 837, 23764, 3816, 5547, 7128, 1520, 6280, 4048, 834, 1075, 3003, 629, 5294, 966, 840, 717, 4317, 10404, 3659, 2625, 2773, 1051, 308, 710, 716, 3717, 2219, 978, 5290, 283, 2919, 5341, 2153, 7076, 2207, 7980, 462, 1378, 3932, 2534, 8942, 1604, 712, 200316, 715, 4323, 3303, 3569, 23533, 6352, 3660, 5329, 3684, 5359, 1191, 5265, 838, 1514, 3937, 7511, 5516, 2230, 3665, 868, 9958, 60489, 4067, 3958, 1356, 6935, 5894, 718, 1512, 8754, 5251, 3818, 4504, 4855, 714, 151, 4199, 164656, 64167, 5292, 80124, 4179, 2335, 11216"
"HALLMARK_E2F_TARGETS",0.00163132137030995,0.0031164298180005,-0.46235224695233,-1.91421206113002,0,200,"2935, 7374, 10274, 7913, 7465, 7514, 11200, 5558, 5111, 7112, 4609, 1031, 29028, 10492, 10664, 6426, 3015, 5885, 29893, 1164, 5931, 55646, 4673, 8726, 2146, 8914, 25842, 8493, 253714, 79677, 81624, 10797, 23047, 3930, 1027, 7398, 10615, 7153, 1163, 10051, 9232, 9738, 3148, 23165, 4172, 580, 9833, 11340, 5511, 6241, 1026, 993, 9212, 9126, 29980, 675, 7884, 10606, 83463, 1019, 10527, 1503, 6434, 983, 5036, 3364, 1111, 10212, 55723, 6118, 1854, 84844, 10714, 55148, 4361, 4288, 1965, 5981, 10549, 4001"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00163132137030995,0.0031164298180005,-0.62062977284998,-2.56950626825504,0,200,"2619, 1634, 4256, 5118, 4487, 2331, 1278, 2303, 4982, 290, 2192, 7049, 3908, 5352, 2669, 6372, 2014, 7128, 7078, 7412, 1277, 1000, 7431, 966, 1842, 4616, 10516, 2697, 3486, 3576, 800, 1601, 1490, 6303, 6591, 871, 6444, 1462, 1292, 1301, 374, 79709, 7474, 11167, 2919, 6678, 5396, 10979, 1293, 3909, 7076, 5159, 3600, 2247, 7980, 3685, 4853, 355, 11010, 1289, 8038, 3398, 4323, 3569, 7040, 3693, 1281, 1296, 5270, 5021, 3688, 5329, 25890, 22943, 51330, 4148, 8076, 7422, 5351, 3678, 4907, 1009, 7045, 4060, 3915, 23705, 22795, 3918, 6876, 2201, 813, 6443, 8325, 1282, 3491, 4837, 4313, 8572, 3725, 7057, 3487, 56937, 3690, 9235, 2335, 2882, 7171, 2191, 4015, 822"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00163132137030995,0.0031164298180005,-0.481325034572766,-1.99276242859485,0,200,"79083, 2296, 55540, 79875, 6542, 25987, 9314, 4299, 6337, 1366, 3880, 9022, 1836, 2683, 596, 5241, 3280, 56994, 2289, 1997, 7164, 9060, 11098, 56944, 4609, 9536, 3875, 9249, 2697, 29107, 6566, 7022, 4277, 3856, 10140, 9620, 374, 60436, 3717, 5420, 26509, 7033, 23389, 25976, 29984, 3480, 6513, 5174, 11001, 22836, 3572, 8800, 6840, 26353, 9094, 11031, 2288, 8614, 5366, 120, 3866, 595, 3625, 2717, 4603, 7494, 2353, 6478, 7466, 360"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00163132137030995,0.0031164298180005,-0.461441837945205,-1.91044282260358,0,200,"2296, 55540, 64065, 9314, 4299, 6337, 3880, 2852, 9022, 1836, 6280, 596, 5241, 56994, 2289, 7164, 9060, 11098, 9536, 29107, 6566, 990, 7022, 4277, 224, 10140, 374, 7134, 3717, 8309, 7358, 26509, 51083, 7033, 7538, 5104, 7980, 445, 64215, 857, 5618, 5174, 11001, 3398, 3572, 6446, 27250, 429, 26353, 5265, 1363, 11031, 2288, 10610, 7153, 120, 10112, 3918, 595, 2717, 7494, 999, 2353, 6478, 7466, 10761, 10950, 3613, 2707, 10160, 3487, 4886"
